# wavelength[nm] / analyte_index / effective index isolated plasmonic lossy
 (1475.903614+0.000000j)	 (1.420000+0.000000j)	 (2.080712+0.128827j)
 (1478.313253+0.000000j)	 (1.420000+0.000000j)	 (2.078866+0.128621j)
 (1480.722892+0.000000j)	 (1.420000+0.000000j)	 (2.077030+0.128411j)
 (1483.132530+0.000000j)	 (1.420000+0.000000j)	 (2.075203+0.128199j)
 (1485.542169+0.000000j)	 (1.420000+0.000000j)	 (2.073384+0.127983j)
 (1487.951807+0.000000j)	 (1.420000+0.000000j)	 (2.071574+0.127765j)
 (1490.361446+0.000000j)	 (1.420000+0.000000j)	 (2.069773+0.127543j)
 (1492.771084+0.000000j)	 (1.420000+0.000000j)	 (2.067980+0.127319j)
 (1495.180723+0.000000j)	 (1.420000+0.000000j)	 (2.066196+0.127091j)
 (1497.590361+0.000000j)	 (1.420000+0.000000j)	 (2.064419+0.126861j)
 (1500.000000+0.000000j)	 (1.420000+0.000000j)	 (2.062651+0.126627j)
 (1502.409639+0.000000j)	 (1.420000+0.000000j)	 (2.060890+0.126391j)
 (1504.819277+0.000000j)	 (1.420000+0.000000j)	 (2.059137+0.126152j)
 (1507.228916+0.000000j)	 (1.420000+0.000000j)	 (2.057392+0.125910j)
 (1509.638554+0.000000j)	 (1.420000+0.000000j)	 (2.055653+0.125666j)
 (1512.048193+0.000000j)	 (1.420000+0.000000j)	 (2.053923+0.125419j)
 (1514.457831+0.000000j)	 (1.420000+0.000000j)	 (2.052199+0.125169j)
 (1516.867470+0.000000j)	 (1.420000+0.000000j)	 (2.050482+0.124917j)
 (1519.277108+0.000000j)	 (1.420000+0.000000j)	 (2.048772+0.124662j)
 (1521.686747+0.000000j)	 (1.420000+0.000000j)	 (2.047069+0.124405j)
 (1524.096386+0.000000j)	 (1.420000+0.000000j)	 (2.045372+0.124145j)
 (1526.506024+0.000000j)	 (1.420000+0.000000j)	 (2.043682+0.123883j)
 (1528.915663+0.000000j)	 (1.420000+0.000000j)	 (2.041999+0.123619j)
 (1531.325301+0.000000j)	 (1.420000+0.000000j)	 (2.040321+0.123352j)
 (1533.734940+0.000000j)	 (1.420000+0.000000j)	 (2.038650+0.123083j)
 (1536.144578+0.000000j)	 (1.420000+0.000000j)	 (2.036985+0.122813j)
 (1538.554217+0.000000j)	 (1.420000+0.000000j)	 (2.035325+0.122540j)
 (1540.963855+0.000000j)	 (1.420000+0.000000j)	 (2.033672+0.122265j)
 (1543.373494+0.000000j)	 (1.420000+0.000000j)	 (2.032024+0.121988j)
 (1545.783133+0.000000j)	 (1.420000+0.000000j)	 (2.030382+0.121710j)
 (1548.192771+0.000000j)	 (1.420000+0.000000j)	 (2.028746+0.121430j)
 (1550.602410+0.000000j)	 (1.420000+0.000000j)	 (2.027114+0.121148j)
 (1553.012048+0.000000j)	 (1.420000+0.000000j)	 (2.025489+0.120864j)
 (1555.421687+0.000000j)	 (1.420000+0.000000j)	 (2.023868+0.120579j)
 (1557.831325+0.000000j)	 (1.420000+0.000000j)	 (2.022253+0.120293j)
 (1560.240964+0.000000j)	 (1.420000+0.000000j)	 (2.020643+0.120005j)
 (1562.650602+0.000000j)	 (1.420000+0.000000j)	 (2.019038+0.119716j)
 (1565.060241+0.000000j)	 (1.420000+0.000000j)	 (2.017437+0.119426j)
 (1567.469880+0.000000j)	 (1.420000+0.000000j)	 (2.015842+0.119134j)
 (1569.879518+0.000000j)	 (1.420000+0.000000j)	 (2.014252+0.118841j)
