# wavelength[nm] / analyte_index / effective index isolated plasmonic lossless
 (1475.903614+0.000000j)	 (1.420000+0.000000j)	 (2.099475-0.000000j)
 (1478.313253+0.000000j)	 (1.420000+0.000000j)	 (2.097622+0.000000j)
 (1480.722892+0.000000j)	 (1.420000+0.000000j)	 (2.095777+0.000000j)
 (1483.132530+0.000000j)	 (1.420000+0.000000j)	 (2.093939+0.000000j)
 (1485.542169+0.000000j)	 (1.420000+0.000000j)	 (2.092110-0.000000j)
 (1487.951807+0.000000j)	 (1.420000+0.000000j)	 (2.090288+0.000000j)
 (1490.361446+0.000000j)	 (1.420000+0.000000j)	 (2.088473-0.000000j)
 (1492.771084+0.000000j)	 (1.420000+0.000000j)	 (2.086666+0.000000j)
 (1495.180723+0.000000j)	 (1.420000+0.000000j)	 (2.084866+0.000000j)
 (1497.590361+0.000000j)	 (1.420000+0.000000j)	 (2.083073+0.000000j)
 (1500.000000+0.000000j)	 (1.420000+0.000000j)	 (2.081287+0.000000j)
 (1502.409639+0.000000j)	 (1.420000+0.000000j)	 (2.079508+0.000000j)
 (1504.819277+0.000000j)	 (1.420000+0.000000j)	 (2.077736-0.000000j)
 (1507.228916+0.000000j)	 (1.420000+0.000000j)	 (2.075970+0.000000j)
 (1509.638554+0.000000j)	 (1.420000+0.000000j)	 (2.074210+0.000000j)
 (1512.048193+0.000000j)	 (1.420000+0.000000j)	 (2.072457+0.000000j)
 (1514.457831+0.000000j)	 (1.420000+0.000000j)	 (2.070710+0.000000j)
 (1516.867470+0.000000j)	 (1.420000+0.000000j)	 (2.068969+0.000000j)
 (1519.277108+0.000000j)	 (1.420000+0.000000j)	 (2.067234+0.000000j)
 (1521.686747+0.000000j)	 (1.420000+0.000000j)	 (2.065504+0.000000j)
 (1524.096386+0.000000j)	 (1.420000+0.000000j)	 (2.063781-0.000000j)
 (1526.506024+0.000000j)	 (1.420000+0.000000j)	 (2.062063+0.000000j)
 (1528.915663+0.000000j)	 (1.420000+0.000000j)	 (2.060350+0.000000j)
 (1531.325301+0.000000j)	 (1.420000+0.000000j)	 (2.058643+0.000000j)
 (1533.734940+0.000000j)	 (1.420000+0.000000j)	 (2.056942+0.000000j)
 (1536.144578+0.000000j)	 (1.420000+0.000000j)	 (2.055245+0.000000j)
 (1538.554217+0.000000j)	 (1.420000+0.000000j)	 (2.053554+0.000000j)
 (1540.963855+0.000000j)	 (1.420000+0.000000j)	 (2.051868+0.000000j)
 (1543.373494+0.000000j)	 (1.420000+0.000000j)	 (2.050187-0.000000j)
 (1545.783133+0.000000j)	 (1.420000+0.000000j)	 (2.048511+0.000000j)
 (1548.192771+0.000000j)	 (1.420000+0.000000j)	 (2.046840+0.000000j)
 (1550.602410+0.000000j)	 (1.420000+0.000000j)	 (2.045173-0.000000j)
 (1553.012048+0.000000j)	 (1.420000+0.000000j)	 (2.043512+0.000000j)
 (1555.421687+0.000000j)	 (1.420000+0.000000j)	 (2.041855+0.000000j)
 (1557.831325+0.000000j)	 (1.420000+0.000000j)	 (2.040202+0.000000j)
 (1560.240964+0.000000j)	 (1.420000+0.000000j)	 (2.038554+0.000000j)
 (1562.650602+0.000000j)	 (1.420000+0.000000j)	 (2.036911-0.000000j)
 (1565.060241+0.000000j)	 (1.420000+0.000000j)	 (2.035272+0.000000j)
 (1567.469880+0.000000j)	 (1.420000+0.000000j)	 (2.033638+0.000000j)
 (1569.879518+0.000000j)	 (1.420000+0.000000j)	 (2.032008+0.000000j)
 (1572.289157+0.000000j)	 (1.420000+0.000000j)	 (2.030382-0.000000j)
 (1574.698795+0.000000j)	 (1.420000+0.000000j)	 (2.028760+0.000000j)
 (1577.108434+0.000000j)	 (1.420000+0.000000j)	 (2.027143+0.000000j)
 (1579.518072+0.000000j)	 (1.420000+0.000000j)	 (2.025530+0.000000j)
 (1581.927711+0.000000j)	 (1.420000+0.000000j)	 (2.023921+0.000000j)
 (1584.337349+0.000000j)	 (1.420000+0.000000j)	 (2.022316+0.000000j)
 (1586.746988+0.000000j)	 (1.420000+0.000000j)	 (2.020716+0.000000j)
 (1589.156627+0.000000j)	 (1.420000+0.000000j)	 (2.019119+0.000000j)
 (1591.566265+0.000000j)	 (1.420000+0.000000j)	 (2.017527+0.000000j)
 (1593.975904+0.000000j)	 (1.420000+0.000000j)	 (2.015938+0.000000j)
 (1596.385542+0.000000j)	 (1.420000+0.000000j)	 (2.014354+0.000000j)
 (1598.795181+0.000000j)	 (1.420000+0.000000j)	 (2.012774+0.000000j)
 (1601.204819+0.000000j)	 (1.420000+0.000000j)	 (2.011197+0.000000j)
 (1603.614458+0.000000j)	 (1.420000+0.000000j)	 (2.009625+0.000000j)
 (1606.024096+0.000000j)	 (1.420000+0.000000j)	 (2.008057+0.000000j)
 (1608.433735+0.000000j)	 (1.420000+0.000000j)	 (2.006492-0.000000j)
 (1610.843373+0.000000j)	 (1.420000+0.000000j)	 (2.004932+0.000000j)
 (1613.253012+0.000000j)	 (1.420000+0.000000j)	 (2.003375+0.000000j)
 (1615.662651+0.000000j)	 (1.420000+0.000000j)	 (2.001823-0.000000j)
 (1618.072289+0.000000j)	 (1.420000+0.000000j)	 (2.000274+0.000000j)
 (1620.481928+0.000000j)	 (1.420000+0.000000j)	 (1.998730-0.000000j)
 (1622.891566+0.000000j)	 (1.420000+0.000000j)	 (1.997189+0.000000j)
 (1625.301205+0.000000j)	 (1.420000+0.000000j)	 (1.995652-0.000000j)
 (1627.710843+0.000000j)	 (1.420000+0.000000j)	 (1.994119+0.000000j)
 (1630.120482+0.000000j)	 (1.420000+0.000000j)	 (1.992590-0.000000j)
 (1632.530120+0.000000j)	 (1.420000+0.000000j)	 (1.991065+0.000000j)
 (1634.939759+0.000000j)	 (1.420000+0.000000j)	 (1.989544+0.000000j)
 (1637.349398+0.000000j)	 (1.420000+0.000000j)	 (1.988027+0.000000j)
 (1639.759036+0.000000j)	 (1.420000+0.000000j)	 (1.986514+0.000000j)
 (1642.168675+0.000000j)	 (1.420000+0.000000j)	 (1.985005-0.000000j)
 (1644.578313+0.000000j)	 (1.420000+0.000000j)	 (1.983499+0.000000j)
 (1646.987952+0.000000j)	 (1.420000+0.000000j)	 (1.981998+0.000000j)
 (1649.397590+0.000000j)	 (1.420000+0.000000j)	 (1.980501+0.000000j)
 (1651.807229+0.000000j)	 (1.420000+0.000000j)	 (1.979007-0.000000j)
 (1654.216867+0.000000j)	 (1.420000+0.000000j)	 (1.977518-0.000000j)
 (1656.626506+0.000000j)	 (1.420000+0.000000j)	 (1.976033+0.000000j)
 (1659.036145+0.000000j)	 (1.420000+0.000000j)	 (1.974551-0.000000j)
 (1661.445783+0.000000j)	 (1.420000+0.000000j)	 (1.973074+0.000000j)
 (1663.855422+0.000000j)	 (1.420000+0.000000j)	 (1.971601+0.000000j)
 (1666.265060+0.000000j)	 (1.420000+0.000000j)	 (1.970131+0.000000j)
 (1668.674699+0.000000j)	 (1.420000+0.000000j)	 (1.968666-0.000000j)
 (1671.084337+0.000000j)	 (1.420000+0.000000j)	 (1.967205+0.000000j)
 (1673.493976+0.000000j)	 (1.420000+0.000000j)	 (1.965748+0.000000j)
 (1675.903614+0.000000j)	 (1.420000+0.000000j)	 (1.964295+0.000000j)
 (1678.313253+0.000000j)	 (1.420000+0.000000j)	 (1.962846+0.000000j)
 (1680.722892+0.000000j)	 (1.420000+0.000000j)	 (1.961401+0.000000j)
 (1683.132530+0.000000j)	 (1.420000+0.000000j)	 (1.959960+0.000000j)
 (1685.542169+0.000000j)	 (1.420000+0.000000j)	 (1.958523+0.000000j)
 (1687.951807+0.000000j)	 (1.420000+0.000000j)	 (1.957091+0.000000j)
 (1690.361446+0.000000j)	 (1.420000+0.000000j)	 (1.955662-0.000000j)
 (1692.771084+0.000000j)	 (1.420000+0.000000j)	 (1.954238-0.000000j)
 (1695.180723+0.000000j)	 (1.420000+0.000000j)	 (1.952818-0.000000j)
 (1697.590361+0.000000j)	 (1.420000+0.000000j)	 (1.951402-0.000000j)
 (1700.000000+0.000000j)	 (1.420000+0.000000j)	 (1.949990+0.000000j)
 (1702.409639+0.000000j)	 (1.420000+0.000000j)	 (1.948582-0.000000j)
 (1704.819277+0.000000j)	 (1.420000+0.000000j)	 (1.947178-0.000000j)
 (1707.228916+0.000000j)	 (1.420000+0.000000j)	 (1.945779+0.000000j)
 (1709.638554+0.000000j)	 (1.420000+0.000000j)	 (1.944384+0.000000j)
 (1712.048193+0.000000j)	 (1.420000+0.000000j)	 (1.942993+0.000000j)
 (1714.457831+0.000000j)	 (1.420000+0.000000j)	 (1.941606+0.000000j)
 (1716.867470+0.000000j)	 (1.420000+0.000000j)	 (1.940224-0.000000j)
 (1719.277108+0.000000j)	 (1.420000+0.000000j)	 (1.938846-0.000000j)
 (1721.686747+0.000000j)	 (1.420000+0.000000j)	 (1.937472+0.000000j)
 (1724.096386+0.000000j)	 (1.420000+0.000000j)	 (1.936102-0.000000j)
 (1726.506024+0.000000j)	 (1.420000+0.000000j)	 (1.934736-0.000000j)
 (1728.915663+0.000000j)	 (1.420000+0.000000j)	 (1.933375-0.000000j)
 (1731.325301+0.000000j)	 (1.420000+0.000000j)	 (1.932018-0.000000j)
 (1733.734940+0.000000j)	 (1.420000+0.000000j)	 (1.930665+0.000000j)
 (1736.144578+0.000000j)	 (1.420000+0.000000j)	 (1.929317+0.000000j)
 (1738.554217+0.000000j)	 (1.420000+0.000000j)	 (1.927972+0.000000j)
 (1740.963855+0.000000j)	 (1.420000+0.000000j)	 (1.926632-0.000000j)
 (1743.373494+0.000000j)	 (1.420000+0.000000j)	 (1.925297+0.000000j)
 (1745.783133+0.000000j)	 (1.420000+0.000000j)	 (1.923965-0.000000j)
 (1748.192771+0.000000j)	 (1.420000+0.000000j)	 (1.922638-0.000000j)
 (1750.602410+0.000000j)	 (1.420000+0.000000j)	 (1.921315-0.000000j)
 (1753.012048+0.000000j)	 (1.420000+0.000000j)	 (1.919996+0.000000j)
 (1755.421687+0.000000j)	 (1.420000+0.000000j)	 (1.918682+0.000000j)
 (1757.831325+0.000000j)	 (1.420000+0.000000j)	 (1.917372-0.000000j)
 (1760.240964+0.000000j)	 (1.420000+0.000000j)	 (1.916066-0.000000j)
 (1762.650602+0.000000j)	 (1.420000+0.000000j)	 (1.914765-0.000000j)
