# wavelength[nm] / analyte_index / effective index isolated dielectric
 (1475.903614+0.000000j)	 (1.420000+0.000000j)	 (2.164846+0.000000j)
 (1478.313253+0.000000j)	 (1.420000+0.000000j)	 (2.161683+0.000000j)
 (1480.722892+0.000000j)	 (1.420000+0.000000j)	 (2.158526+0.000000j)
 (1483.132530+0.000000j)	 (1.420000+0.000000j)	 (2.155377+0.000000j)
 (1485.542169+0.000000j)	 (1.420000+0.000000j)	 (2.152236+0.000000j)
 (1487.951807+0.000000j)	 (1.420000+0.000000j)	 (2.149102-0.000000j)
 (1490.361446+0.000000j)	 (1.420000+0.000000j)	 (2.145976+0.000000j)
 (1492.771084+0.000000j)	 (1.420000+0.000000j)	 (2.142857+0.000000j)
 (1495.180723+0.000000j)	 (1.420000+0.000000j)	 (2.139747-0.000000j)
 (1497.590361+0.000000j)	 (1.420000+0.000000j)	 (2.136644+0.000000j)
 (1500.000000+0.000000j)	 (1.420000+0.000000j)	 (2.133549+0.000000j)
 (1502.409639+0.000000j)	 (1.420000+0.000000j)	 (2.130463-0.000000j)
 (1504.819277+0.000000j)	 (1.420000+0.000000j)	 (2.127384+0.000000j)
 (1507.228916+0.000000j)	 (1.420000+0.000000j)	 (2.124314+0.000000j)
 (1509.638554+0.000000j)	 (1.420000+0.000000j)	 (2.121252-0.000000j)
 (1512.048193+0.000000j)	 (1.420000+0.000000j)	 (2.118198+0.000000j)
 (1514.457831+0.000000j)	 (1.420000+0.000000j)	 (2.115153+0.000000j)
 (1516.867470+0.000000j)	 (1.420000+0.000000j)	 (2.112116+0.000000j)
 (1519.277108+0.000000j)	 (1.420000+0.000000j)	 (2.109087+0.000000j)
 (1521.686747+0.000000j)	 (1.420000+0.000000j)	 (2.106068+0.000000j)
 (1524.096386+0.000000j)	 (1.420000+0.000000j)	 (2.103057+0.000000j)
 (1526.506024+0.000000j)	 (1.420000+0.000000j)	 (2.100054+0.000000j)
 (1528.915663+0.000000j)	 (1.420000+0.000000j)	 (2.097061+0.000000j)
 (1531.325301+0.000000j)	 (1.420000+0.000000j)	 (2.094076+0.000000j)
 (1533.734940+0.000000j)	 (1.420000+0.000000j)	 (2.091100+0.000000j)
 (1536.144578+0.000000j)	 (1.420000+0.000000j)	 (2.088133-0.000000j)
 (1538.554217+0.000000j)	 (1.420000+0.000000j)	 (2.085176+0.000000j)
 (1540.963855+0.000000j)	 (1.420000+0.000000j)	 (2.082227+0.000000j)
 (1543.373494+0.000000j)	 (1.420000+0.000000j)	 (2.079287+0.000000j)
 (1545.783133+0.000000j)	 (1.420000+0.000000j)	 (2.076357-0.000000j)
 (1548.192771+0.000000j)	 (1.420000+0.000000j)	 (2.073436+0.000000j)
 (1550.602410+0.000000j)	 (1.420000+0.000000j)	 (2.070524+0.000000j)
 (1553.012048+0.000000j)	 (1.420000+0.000000j)	 (2.067622-0.000000j)
 (1555.421687+0.000000j)	 (1.420000+0.000000j)	 (2.064729+0.000000j)
 (1557.831325+0.000000j)	 (1.420000+0.000000j)	 (2.061846+0.000000j)
 (1560.240964+0.000000j)	 (1.420000+0.000000j)	 (2.058972+0.000000j)
 (1562.650602+0.000000j)	 (1.420000+0.000000j)	 (2.056108-0.000000j)
 (1565.060241+0.000000j)	 (1.420000+0.000000j)	 (2.053253-0.000000j)
 (1567.469880+0.000000j)	 (1.420000+0.000000j)	 (2.050408-0.000000j)
 (1569.879518+0.000000j)	 (1.420000+0.000000j)	 (2.047573+0.000000j)
 (1572.289157+0.000000j)	 (1.420000+0.000000j)	 (2.044747+0.000000j)
