# wavelength[nm] / analyte_index / effective index supermode 1 lossy
 (1475.903614+0.000000j)	 (1.420000+0.000000j)	 (2.173049+0.010517j)
 (1478.313253+0.000000j)	 (1.420000+0.000000j)	 (2.170101+0.010858j)
 (1480.722892+0.000000j)	 (1.420000+0.000000j)	 (2.167165+0.011209j)
 (1483.132530+0.000000j)	 (1.420000+0.000000j)	 (2.164242+0.011569j)
 (1485.542169+0.000000j)	 (1.420000+0.000000j)	 (2.161333+0.011941j)
 (1487.951807+0.000000j)	 (1.420000+0.000000j)	 (2.158438+0.012323j)
 (1490.361446+0.000000j)	 (1.420000+0.000000j)	 (2.155556+0.012716j)
 (1492.771084+0.000000j)	 (1.420000+0.000000j)	 (2.152689+0.013121j)
 (1495.180723+0.000000j)	 (1.420000+0.000000j)	 (2.149837+0.013537j)
 (1497.590361+0.000000j)	 (1.420000+0.000000j)	 (2.147000+0.013964j)
 (1500.000000+0.000000j)	 (1.420000+0.000000j)	 (2.144179+0.014404j)
 (1502.409639+0.000000j)	 (1.420000+0.000000j)	 (2.141373+0.014856j)
 (1504.819277+0.000000j)	 (1.420000+0.000000j)	 (2.138584+0.015321j)
 (1507.228916+0.000000j)	 (1.420000+0.000000j)	 (2.135811+0.015798j)
 (1509.638554+0.000000j)	 (1.420000+0.000000j)	 (2.133056+0.016289j)
 (1512.048193+0.000000j)	 (1.420000+0.000000j)	 (2.130319+0.016793j)
 (1514.457831+0.000000j)	 (1.420000+0.000000j)	 (2.127600+0.017310j)
 (1516.867470+0.000000j)	 (1.420000+0.000000j)	 (2.124900+0.017842j)
 (1519.277108+0.000000j)	 (1.420000+0.000000j)	 (2.122220+0.018387j)
 (1521.686747+0.000000j)	 (1.420000+0.000000j)	 (2.119560+0.018947j)
 (1524.096386+0.000000j)	 (1.420000+0.000000j)	 (2.116921+0.019521j)
 (1526.506024+0.000000j)	 (1.420000+0.000000j)	 (2.114303+0.020110j)
 (1528.915663+0.000000j)	 (1.420000+0.000000j)	 (2.111709+0.020713j)
 (1531.325301+0.000000j)	 (1.420000+0.000000j)	 (2.109137+0.021331j)
 (1533.734940+0.000000j)	 (1.420000+0.000000j)	 (2.106590+0.021964j)
 (1536.144578+0.000000j)	 (1.420000+0.000000j)	 (2.104068+0.022612j)
 (1538.554217+0.000000j)	 (1.420000+0.000000j)	 (2.101572+0.023274j)
 (1540.963855+0.000000j)	 (1.420000+0.000000j)	 (2.099103+0.023952j)
 (1543.373494+0.000000j)	 (1.420000+0.000000j)	 (2.096662+0.024643j)
 (1545.783133+0.000000j)	 (1.420000+0.000000j)	 (2.094251+0.025349j)
 (1548.192771+0.000000j)	 (1.420000+0.000000j)	 (2.091870+0.026069j)
 (1550.602410+0.000000j)	 (1.420000+0.000000j)	 (2.089520+0.026801j)
 (1553.012048+0.000000j)	 (1.420000+0.000000j)	 (2.087204+0.027547j)
 (1555.421687+0.000000j)	 (1.420000+0.000000j)	 (2.084921+0.028304j)
