# wavelength[nm] / analyte_index / effective index supermode 1 lossless
 (1475.903614+0.000000j)	 (1.420000+0.000000j)	 (2.187015+0.000000j)
 (1478.313253+0.000000j)	 (1.420000+0.000000j)	 (2.184500-0.000000j)
 (1480.722892+0.000000j)	 (1.420000+0.000000j)	 (2.182005+0.000000j)
 (1483.132530+0.000000j)	 (1.420000+0.000000j)	 (2.179531+0.000000j)
 (1485.542169+0.000000j)	 (1.420000+0.000000j)	 (2.177077-0.000000j)
 (1487.951807+0.000000j)	 (1.420000+0.000000j)	 (2.174644-0.000000j)
 (1490.361446+0.000000j)	 (1.420000+0.000000j)	 (2.172232+0.000000j)
 (1492.771084+0.000000j)	 (1.420000+0.000000j)	 (2.169840-0.000000j)
 (1495.180723+0.000000j)	 (1.420000+0.000000j)	 (2.167468-0.000000j)
 (1497.590361+0.000000j)	 (1.420000+0.000000j)	 (2.165117-0.000000j)
 (1500.000000+0.000000j)	 (1.420000+0.000000j)	 (2.162786+0.000000j)
 (1502.409639+0.000000j)	 (1.420000+0.000000j)	 (2.160476-0.000000j)
 (1504.819277+0.000000j)	 (1.420000+0.000000j)	 (2.158186-0.000000j)
 (1507.228916+0.000000j)	 (1.420000+0.000000j)	 (2.155915-0.000000j)
 (1509.638554+0.000000j)	 (1.420000+0.000000j)	 (2.153665-0.000000j)
 (1512.048193+0.000000j)	 (1.420000+0.000000j)	 (2.151434+0.000000j)
 (1514.457831+0.000000j)	 (1.420000+0.000000j)	 (2.149223+0.000000j)
 (1516.867470+0.000000j)	 (1.420000+0.000000j)	 (2.147031-0.000000j)
 (1519.277108+0.000000j)	 (1.420000+0.000000j)	 (2.144859-0.000000j)
 (1521.686747+0.000000j)	 (1.420000+0.000000j)	 (2.142706-0.000000j)
 (1524.096386+0.000000j)	 (1.420000+0.000000j)	 (2.140571-0.000000j)
 (1526.506024+0.000000j)	 (1.420000+0.000000j)	 (2.138455+0.000000j)
 (1528.915663+0.000000j)	 (1.420000+0.000000j)	 (2.136358+0.000000j)
 (1531.325301+0.000000j)	 (1.420000+0.000000j)	 (2.134279-0.000000j)
 (1533.734940+0.000000j)	 (1.420000+0.000000j)	 (2.132218-0.000000j)
 (1536.144578+0.000000j)	 (1.420000+0.000000j)	 (2.130174-0.000000j)
 (1538.554217+0.000000j)	 (1.420000+0.000000j)	 (2.128148+0.000000j)
 (1540.963855+0.000000j)	 (1.420000+0.000000j)	 (2.126140+0.000000j)
 (1543.373494+0.000000j)	 (1.420000+0.000000j)	 (2.124149+0.000000j)
 (1545.783133+0.000000j)	 (1.420000+0.000000j)	 (2.122174+0.000000j)
 (1548.192771+0.000000j)	 (1.420000+0.000000j)	 (2.120216-0.000000j)
 (1550.602410+0.000000j)	 (1.420000+0.000000j)	 (2.118275+0.000000j)
 (1553.012048+0.000000j)	 (1.420000+0.000000j)	 (2.116349+0.000000j)
 (1555.421687+0.000000j)	 (1.420000+0.000000j)	 (2.114439-0.000000j)
 (1557.831325+0.000000j)	 (1.420000+0.000000j)	 (2.112545+0.000000j)
 (1560.240964+0.000000j)	 (1.420000+0.000000j)	 (2.110667+0.000000j)
 (1562.650602+0.000000j)	 (1.420000+0.000000j)	 (2.108803-0.000000j)
 (1565.060241+0.000000j)	 (1.420000+0.000000j)	 (2.106955+0.000000j)
 (1567.469880+0.000000j)	 (1.420000+0.000000j)	 (2.105120-0.000000j)
 (1569.879518+0.000000j)	 (1.420000+0.000000j)	 (2.103301-0.000000j)
 (1572.289157+0.000000j)	 (1.420000+0.000000j)	 (2.101495-0.000000j)
 (1574.698795+0.000000j)	 (1.420000+0.000000j)	 (2.099704-0.000000j)
 (1577.108434+0.000000j)	 (1.420000+0.000000j)	 (2.097926-0.000000j)
 (1579.518072+0.000000j)	 (1.420000+0.000000j)	 (2.096162-0.000000j)
 (1581.927711+0.000000j)	 (1.420000+0.000000j)	 (2.094411+0.000000j)
 (1584.337349+0.000000j)	 (1.420000+0.000000j)	 (2.092673-0.000000j)
 (1586.746988+0.000000j)	 (1.420000+0.000000j)	 (2.090947+0.000000j)
 (1589.156627+0.000000j)	 (1.420000+0.000000j)	 (2.089235+0.000000j)
 (1591.566265+0.000000j)	 (1.420000+0.000000j)	 (2.087534+0.000000j)
 (1593.975904+0.000000j)	 (1.420000+0.000000j)	 (2.085846-0.000000j)
 (1596.385542+0.000000j)	 (1.420000+0.000000j)	 (2.084170+0.000000j)
 (1598.795181+0.000000j)	 (1.420000+0.000000j)	 (2.082506+0.000000j)
 (1601.204819+0.000000j)	 (1.420000+0.000000j)	 (2.080853-0.000000j)
 (1603.614458+0.000000j)	 (1.420000+0.000000j)	 (2.079212+0.000000j)
 (1606.024096+0.000000j)	 (1.420000+0.000000j)	 (2.077582-0.000000j)
 (1608.433735+0.000000j)	 (1.420000+0.000000j)	 (2.075963+0.000000j)
 (1610.843373+0.000000j)	 (1.420000+0.000000j)	 (2.074354-0.000000j)
 (1613.253012+0.000000j)	 (1.420000+0.000000j)	 (2.072757-0.000000j)
 (1615.662651+0.000000j)	 (1.420000+0.000000j)	 (2.071170+0.000000j)
 (1618.072289+0.000000j)	 (1.420000+0.000000j)	 (2.069593-0.000000j)
 (1620.481928+0.000000j)	 (1.420000+0.000000j)	 (2.068027+0.000000j)
 (1622.891566+0.000000j)	 (1.420000+0.000000j)	 (2.066471+0.000000j)
 (1625.301205+0.000000j)	 (1.420000+0.000000j)	 (2.064924+0.000000j)
 (1627.710843+0.000000j)	 (1.420000+0.000000j)	 (2.063388+0.000000j)
 (1630.120482+0.000000j)	 (1.420000+0.000000j)	 (2.061861-0.000000j)
 (1632.530120+0.000000j)	 (1.420000+0.000000j)	 (2.060343-0.000000j)
 (1634.939759+0.000000j)	 (1.420000+0.000000j)	 (2.058835+0.000000j)
 (1637.349398+0.000000j)	 (1.420000+0.000000j)	 (2.057336-0.000000j)
 (1639.759036+0.000000j)	 (1.420000+0.000000j)	 (2.055846-0.000000j)
 (1642.168675+0.000000j)	 (1.420000+0.000000j)	 (2.054365+0.000000j)
 (1644.578313+0.000000j)	 (1.420000+0.000000j)	 (2.052893-0.000000j)
 (1646.987952+0.000000j)	 (1.420000+0.000000j)	 (2.051430+0.000000j)
 (1649.397590+0.000000j)	 (1.420000+0.000000j)	 (2.049975+0.000000j)
 (1651.807229+0.000000j)	 (1.420000+0.000000j)	 (2.048529-0.000000j)
 (1654.216867+0.000000j)	 (1.420000+0.000000j)	 (2.047092-0.000000j)
 (1656.626506+0.000000j)	 (1.420000+0.000000j)	 (2.045662-0.000000j)
 (1659.036145+0.000000j)	 (1.420000+0.000000j)	 (2.044241-0.000000j)
 (1661.445783+0.000000j)	 (1.420000+0.000000j)	 (2.042828-0.000000j)
 (1663.855422+0.000000j)	 (1.420000+0.000000j)	 (2.041423-0.000000j)
 (1666.265060+0.000000j)	 (1.420000+0.000000j)	 (2.040026+0.000000j)
