# wavelength[nm] / analyte_index / effective index supermode 2 lossy
 (1300.000000+0.000000j)	 (1.420000+0.000000j)	 (2.249583+0.136795j)
 (1302.409639+0.000000j)	 (1.420000+0.000000j)	 (2.246587+0.136670j)
 (1304.819277+0.000000j)	 (1.420000+0.000000j)	 (2.243609+0.136545j)
 (1307.228916+0.000000j)	 (1.420000+0.000000j)	 (2.240649+0.136420j)
 (1309.638554+0.000000j)	 (1.420000+0.000000j)	 (2.237707+0.136295j)
 (1312.048193+0.000000j)	 (1.420000+0.000000j)	 (2.234782+0.136170j)
 (1314.457831+0.000000j)	 (1.420000+0.000000j)	 (2.231876+0.136045j)
 (1316.867470+0.000000j)	 (1.420000+0.000000j)	 (2.228986+0.135919j)
 (1319.277108+0.000000j)	 (1.420000+0.000000j)	 (2.226114+0.135792j)
 (1321.686747+0.000000j)	 (1.420000+0.000000j)	 (2.223259+0.135665j)
 (1324.096386+0.000000j)	 (1.420000+0.000000j)	 (2.220421+0.135537j)
 (1326.506024+0.000000j)	 (1.420000+0.000000j)	 (2.217599+0.135408j)
 (1328.915663+0.000000j)	 (1.420000+0.000000j)	 (2.214795+0.135278j)
 (1331.325301+0.000000j)	 (1.420000+0.000000j)	 (2.212006+0.135146j)
 (1333.734940+0.000000j)	 (1.420000+0.000000j)	 (2.209234+0.135014j)
 (1336.144578+0.000000j)	 (1.420000+0.000000j)	 (2.206478+0.134880j)
 (1338.554217+0.000000j)	 (1.420000+0.000000j)	 (2.203737+0.134744j)
 (1340.963855+0.000000j)	 (1.420000+0.000000j)	 (2.201013+0.134606j)
 (1343.373494+0.000000j)	 (1.420000+0.000000j)	 (2.198304+0.134467j)
 (1345.783133+0.000000j)	 (1.420000+0.000000j)	 (2.195610+0.134325j)
 (1348.192771+0.000000j)	 (1.420000+0.000000j)	 (2.192932+0.134181j)
 (1350.602410+0.000000j)	 (1.420000+0.000000j)	 (2.190268+0.134035j)
 (1353.012048+0.000000j)	 (1.420000+0.000000j)	 (2.187619+0.133886j)
 (1355.421687+0.000000j)	 (1.420000+0.000000j)	 (2.184985+0.133735j)
 (1357.831325+0.000000j)	 (1.420000+0.000000j)	 (2.182366+0.133580j)
 (1360.240964+0.000000j)	 (1.420000+0.000000j)	 (2.179761+0.133423j)
 (1362.650602+0.000000j)	 (1.420000+0.000000j)	 (2.177170+0.133263j)
 (1365.060241+0.000000j)	 (1.420000+0.000000j)	 (2.174592+0.133099j)
 (1367.469880+0.000000j)	 (1.420000+0.000000j)	 (2.172029+0.132932j)
 (1369.879518+0.000000j)	 (1.420000+0.000000j)	 (2.169479+0.132761j)
 (1372.289157+0.000000j)	 (1.420000+0.000000j)	 (2.166942+0.132586j)
 (1374.698795+0.000000j)	 (1.420000+0.000000j)	 (2.164419+0.132407j)
 (1377.108434+0.000000j)	 (1.420000+0.000000j)	 (2.161908+0.132224j)
 (1379.518072+0.000000j)	 (1.420000+0.000000j)	 (2.159411+0.132037j)
 (1381.927711+0.000000j)	 (1.420000+0.000000j)	 (2.156926+0.131845j)
 (1384.337349+0.000000j)	 (1.420000+0.000000j)	 (2.154453+0.131648j)
 (1386.746988+0.000000j)	 (1.420000+0.000000j)	 (2.151992+0.131447j)
 (1389.156627+0.000000j)	 (1.420000+0.000000j)	 (2.149544+0.131240j)
 (1391.566265+0.000000j)	 (1.420000+0.000000j)	 (2.147107+0.131028j)
 (1393.975904+0.000000j)	 (1.420000+0.000000j)	 (2.144682+0.130811j)
 (1396.385542+0.000000j)	 (1.420000+0.000000j)	 (2.142268+0.130588j)
 (1398.795181+0.000000j)	 (1.420000+0.000000j)	 (2.139865+0.130359j)
 (1401.204819+0.000000j)	 (1.420000+0.000000j)	 (2.137474+0.130125j)
 (1403.614458+0.000000j)	 (1.420000+0.000000j)	 (2.135093+0.129884j)
 (1406.024096+0.000000j)	 (1.420000+0.000000j)	 (2.132722+0.129636j)
 (1408.433735+0.000000j)	 (1.420000+0.000000j)	 (2.130362+0.129382j)
 (1410.843373+0.000000j)	 (1.420000+0.000000j)	 (2.128012+0.129121j)
 (1413.253012+0.000000j)	 (1.420000+0.000000j)	 (2.125672+0.128854j)
 (1415.662651+0.000000j)	 (1.420000+0.000000j)	 (2.123342+0.128579j)
 (1418.072289+0.000000j)	 (1.420000+0.000000j)	 (2.121020+0.128296j)
 (1420.481928+0.000000j)	 (1.420000+0.000000j)	 (2.118709+0.128006j)
 (1422.891566+0.000000j)	 (1.420000+0.000000j)	 (2.116406+0.127708j)
 (1425.301205+0.000000j)	 (1.420000+0.000000j)	 (2.114111+0.127402j)
 (1427.710843+0.000000j)	 (1.420000+0.000000j)	 (2.111826+0.127088j)
 (1430.120482+0.000000j)	 (1.420000+0.000000j)	 (2.109548+0.126766j)
 (1432.530120+0.000000j)	 (1.420000+0.000000j)	 (2.107279+0.126434j)
 (1434.939759+0.000000j)	 (1.420000+0.000000j)	 (2.105017+0.126094j)
 (1437.349398+0.000000j)	 (1.420000+0.000000j)	 (2.102763+0.125745j)
 (1439.759036+0.000000j)	 (1.420000+0.000000j)	 (2.100516+0.125387j)
 (1442.168675+0.000000j)	 (1.420000+0.000000j)	 (2.098277+0.125019j)
 (1444.578313+0.000000j)	 (1.420000+0.000000j)	 (2.096044+0.124641j)
 (1446.987952+0.000000j)	 (1.420000+0.000000j)	 (2.093817+0.124253j)
 (1449.397590+0.000000j)	 (1.420000+0.000000j)	 (2.091597+0.123855j)
 (1451.807229+0.000000j)	 (1.420000+0.000000j)	 (2.089383+0.123447j)
 (1454.216867+0.000000j)	 (1.420000+0.000000j)	 (2.087175+0.123028j)
 (1456.626506+0.000000j)	 (1.420000+0.000000j)	 (2.084972+0.122599j)
 (1459.036145+0.000000j)	 (1.420000+0.000000j)	 (2.082774+0.122158j)
 (1461.445783+0.000000j)	 (1.420000+0.000000j)	 (2.080581+0.121706j)
 (1463.855422+0.000000j)	 (1.420000+0.000000j)	 (2.078393+0.121243j)
 (1466.265060+0.000000j)	 (1.420000+0.000000j)	 (2.076209+0.120767j)
 (1468.674699+0.000000j)	 (1.420000+0.000000j)	 (2.074029+0.120280j)
 (1471.084337+0.000000j)	 (1.420000+0.000000j)	 (2.071853+0.119781j)
 (1473.493976+0.000000j)	 (1.420000+0.000000j)	 (2.069681+0.119269j)
 (1475.903614+0.000000j)	 (1.420000+0.000000j)	 (2.067511+0.118745j)
 (1478.313253+0.000000j)	 (1.420000+0.000000j)	 (2.065344+0.118207j)
 (1480.722892+0.000000j)	 (1.420000+0.000000j)	 (2.063180+0.117657j)
 (1483.132530+0.000000j)	 (1.420000+0.000000j)	 (2.061018+0.117093j)
